,가장 많이 참여한 여가활동 (1순위),가장 만족스런 여가활동 (1순위),응답자 성별,연령,가구 소득,여가활동을 위한 월 평균 지출액,가장 많이 참여한 1순위 여가활동 동반자1,일주일 여가시간
162,TV시청(IPTV포함),58,2,4,1,100000,1,70.0
163,"배드민턴/줄넘기/맨손,스트레칭체조/훌라후프",31,1,2,5,100000,3,16.0
164,TV시청(IPTV포함),74,2,5,4,200000,1,63.0
165,TV시청(IPTV포함),74,1,5,6,200000,2,48.0
166,TV시청(IPTV포함),71,1,5,5,200000,2,46.0
167,TV시청(IPTV포함),74,2,3,4,100000,2,53.0
168,TV시청(IPTV포함),71,2,3,5,300000,2,51.0
169,TV시청(IPTV포함),58,2,3,5,200000,2,51.0
170,TV시청(IPTV포함),58,2,3,4,200000,2,51.0
171,TV시청(IPTV포함),71,2,6,2,100000,1,63.0
172,TV시청(IPTV포함),84,2,4,6,300000,2,60.0
173,인터넷검색/1인미디어제작/SNS,86,1,2,7,100000,1,53.0
174,TV시청(IPTV포함),74,2,4,7,150000,2,46.0
175,TV시청(IPTV포함),74,2,3,6,250000,2,56.0
176,인터넷검색/1인미디어제작/SNS,58,1,4,7,200000,1,55.0
177,TV시청(IPTV포함),58,2,3,5,200000,2,53.0
178,TV시청(IPTV포함),74,2,5,7,300000,2,58.0
179,TV시청(IPTV포함),74,1,4,6,200000,2,48.0
180,TV시청(IPTV포함),55,2,5,3,200000,1,36.0
181,TV시청(IPTV포함),38,1,5,7,300000,2,27.0
182,인터넷검색/1인미디어제작/SNS,48,1,3,3,20000,1,30.0
183,TV시청(IPTV포함),58,2,4,7,300000,2,46.0
184,TV시청(IPTV포함),41,2,4,7,350000,2,51.0
185,TV시청(IPTV포함),55,2,5,7,250000,2,58.0
186,TV시청(IPTV포함),55,2,4,7,300000,2,58.0
187,TV시청(IPTV포함),63,2,4,7,200000,2,21.0
188,TV시청(IPTV포함),46,1,3,4,200000,2,53.0
189,TV시청(IPTV포함),41,2,4,7,300000,2,53.0
190,TV시청(IPTV포함),58,2,3,4,300000,2,46.0
191,TV시청(IPTV포함),71,2,3,5,200000,2,46.0
192,TV시청(IPTV포함),74,2,3,5,200000,2,51.0
193,게임(온라인/모바일/콘솔게임등),59,1,2,7,300000,1,50.0
194,인터넷검색/1인미디어제작/SNS,85,2,4,7,30000,1,23.0
195,산책및걷기,71,1,5,6,200000,1,9.0
196,게임(온라인/모바일/콘솔게임등),59,1,3,7,150000,1,40.5
197,TV시청(IPTV포함),74,1,5,4,250000,1,31.5
198,TV시청(IPTV포함),74,2,5,4,200000,1,26.5
199,TV시청(IPTV포함),37,1,3,5,200000,2,43.0
200,TV시청(IPTV포함),58,2,4,4,100000,2,44.0
201,"배드민턴/줄넘기/맨손,스트레칭체조/훌라후프",63,2,4,4,150000,1,23.0
202,인터넷검색/1인미디어제작/SNS,74,2,5,6,20000,1,25.0
203,TV시청(IPTV포함),31,2,4,4,100000,2,51.0
204,산책및걷기,55,2,5,6,200000,2,30.0
205,음악감상,30,2,1,6,100000,1,41.0
206,음악감상,55,2,4,3,40000,1,21.5
207,TV시청(IPTV포함),64,1,6,3,100000,2,27.0
208,TV시청(IPTV포함),48,1,4,3,100000,2,31.0
209,TV시청(IPTV포함),55,2,5,4,150000,1,54.0
210,TV시청(IPTV포함),75,2,4,7,3000,2,30.0
211,TV시청(IPTV포함),30,2,4,6,300000,2,25.0
212,TV시청(IPTV포함),63,2,4,5,30000,2,23.0
213,산책및걷기,63,1,6,3,100000,1,27.0
214,산책및걷기,71,2,5,5,30000,3,9.0
215,인터넷검색/1인미디어제작/SNS,58,2,2,5,30000,1,25.0
216,TV시청(IPTV포함),71,1,7,2,100000,1,27.0
217,"모바일컨텐츠,동영상,VOD시청",75,2,2,7,200000,1,37.0
218,인터넷검색/1인미디어제작/SNS,58,1,2,4,100000,1,34.0
219,"모바일컨텐츠,동영상,VOD시청",29,1,2,7,500000,1,46.0
220,"모바일컨텐츠,동영상,VOD시청",29,1,2,5,500000,1,36.0
221,게임(온라인/모바일/콘솔게임등),7,1,2,6,200000,1,36.0
222,헬스(보디빌딩)/에어로빅,29,2,2,7,300000,1,16.0
223,산책및걷기,74,2,5,7,30000,2,16.0
224,TV시청(IPTV포함),29,1,5,5,500000,2,36.0
225,"모바일컨텐츠,동영상,VOD시청",29,1,2,6,200000,1,36.0
226,헬스(보디빌딩)/에어로빅,29,2,6,3,60000,1,49.0
227,TV시청(IPTV포함),74,2,5,6,5000,2,28.0
228,TV시청(IPTV포함),74,1,5,5,50000,2,18.0
229,인터넷검색/1인미디어제작/SNS,29,1,2,3,200000,1,25.0
230,인터넷검색/1인미디어제작/SNS,38,1,2,1,200000,1,23.0
231,"모바일컨텐츠,동영상,VOD시청",48,1,5,4,200000,1,31.0
232,TV시청(IPTV포함),74,1,3,5,50000,2,25.0
233,TV시청(IPTV포함),74,2,4,5,200000,1,25.0
234,산책및걷기,71,2,5,3,100000,2,21.0
235,헬스(보디빌딩)/에어로빅,63,1,3,6,300000,1,21.0
236,헬스(보디빌딩)/에어로빅,29,1,2,3,150000,1,35.0
237,헬스(보디빌딩)/에어로빅,52,1,4,3,200000,1,21.0
238,TV시청(IPTV포함),74,2,6,7,50000,1,21.0
239,TV시청(IPTV포함),29,2,5,4,50000,3,32.0
240,반려동물돌보기,7,2,3,3,200000,1,27.0
241,"배드민턴/줄넘기/맨손,스트레칭체조/훌라후프",31,2,5,6,250000,1,23.0
242,TV시청(IPTV포함),58,2,3,7,300000,2,53.0
243,TV시청(IPTV포함),74,2,7,3,200000,1,49.0
244,게임(온라인/모바일/콘솔게임등),29,2,5,4,70000,1,18.0
245,TV시청(IPTV포함),29,1,4,6,100000,2,25.0
246,TV시청(IPTV포함),81,1,5,5,400000,1,25.6
247,인터넷검색/1인미디어제작/SNS,59,2,3,4,10000,1,18.0
248,영화관람,30,2,3,5,200000,2,13.0
249,인터넷검색/1인미디어제작/SNS,27,2,3,4,600000,1,25.0
250,인터넷검색/1인미디어제작/SNS,59,1,3,3,200000,1,60.0
251,인터넷검색/1인미디어제작/SNS,14,1,3,4,80000,1,16.0
252,"모바일컨텐츠,동영상,VOD시청",75,2,4,6,300000,1,21.0
253,쇼핑/외식,25,2,6,4,200000,2,25.0
254,음악감상,7,2,2,1,100000,1,25.0
255,음주,64,1,3,6,100000,3,16.0
256,수영,25,1,4,4,200000,1,28.0
257,"모바일컨텐츠,동영상,VOD시청",7,1,4,5,20000,1,27.0
258,게임(온라인/모바일/콘솔게임등),59,1,2,3,100000,1,16.0
259,TV시청(IPTV포함),72,2,5,5,50000,2,16.0
260,TV시청(IPTV포함),63,2,3,6,200000,2,53.0
261,TV시청(IPTV포함),58,1,4,6,200000,2,55.0
262,TV시청(IPTV포함),39,2,4,5,200000,2,55.0
263,TV시청(IPTV포함),58,2,4,5,150000,2,51.0
264,게임(온라인/모바일/콘솔게임등),63,2,1,5,40000,1,28.5
265,"인테리어(집,자동차등)",63,2,3,5,200000,1,46.0
266,인터넷검색/1인미디어제작/SNS,64,2,4,3,150000,1,31.0
267,헬스(보디빌딩)/에어로빅,7,2,3,2,100000,1,32.0
268,TV시청(IPTV포함),26,1,4,6,300000,2,27.0
269,TV시청(IPTV포함),74,2,5,5,500000,2,49.0
270,골프,24,1,6,2,150000,3,14.0
271,TV시청(IPTV포함),74,1,5,6,400000,1,32.0
272,골프,24,1,5,7,200000,5,30.0
273,TV시청(IPTV포함),24,1,4,7,500000,2,32.0
274,골프,24,1,6,5,200000,1,14.0
275,"모바일컨텐츠,동영상,VOD시청",75,2,4,4,100000,1,25.0
276,TV시청(IPTV포함),24,1,5,7,500000,2,27.0
277,독서(웹소설포함),65,1,2,1,50000,1,34.0
278,인터넷검색/1인미디어제작/SNS,41,1,4,4,200000,1,21.0
279,TV시청(IPTV포함),14,1,4,5,100000,1,24.0
280,테마파크가기/놀이공원/동물원/식물원가기,46,1,4,7,100000,2,25.0
281,게임(온라인/모바일/콘솔게임등),59,2,3,4,80000,1,25.0
282,TV시청(IPTV포함),58,1,3,7,250000,1,36.0
283,"모바일컨텐츠,동영상,VOD시청",75,1,2,5,20000,1,23.0
284,"모바일컨텐츠,동영상,VOD시청",7,1,1,7,100000,1,45.0
285,TV시청(IPTV포함),40,1,3,5,130000,2,40.0
286,"모바일컨텐츠,동영상,VOD시청",63,1,3,4,200000,1,21.0
287,TV시청(IPTV포함),55,1,4,5,500000,1,45.0
288,TV시청(IPTV포함),74,2,2,4,180000,2,37.6
289,"모바일컨텐츠,동영상,VOD시청",63,2,2,7,100000,1,14.0
290,TV시청(IPTV포함),48,2,2,6,10000,2,35.0
291,음악감상,47,2,2,5,150000,1,25.0
292,"모바일컨텐츠,동영상,VOD시청",17,2,2,6,20000,1,38.0
293,게임(온라인/모바일/콘솔게임등),7,1,2,6,100000,1,18.0
294,"모바일컨텐츠,동영상,VOD시청",7,2,2,7,100000,1,27.0
295,헬스(보디빌딩)/에어로빅,55,1,6,7,200000,1,31.0
296,"배드민턴/줄넘기/맨손,스트레칭체조/훌라후프",31,1,4,6,200000,1,11.0
297,인터넷검색/1인미디어제작/SNS,67,2,4,5,50000,1,11.0
298,쇼핑/외식,63,2,3,5,130000,1,11.0
299,영화관람,7,2,3,7,200000,2,30.0
300,TV시청(IPTV포함),75,1,2,3,50000,2,16.0
301,당구/포켓볼,22,2,3,5,300000,3,41.0
302,영화관람,52,1,2,6,600000,3,26.0
303,TV시청(IPTV포함),71,1,4,3,100000,1,32.0
304,"모바일컨텐츠,동영상,VOD시청",75,1,4,4,200000,1,29.0
305,인터넷검색/1인미디어제작/SNS,58,1,2,7,300000,1,34.0
306,인터넷검색/1인미디어제작/SNS,58,1,4,3,200000,1,44.0
307,산책및걷기,71,1,5,6,100000,1,14.0
308,어학/기술/자격증취득공부/학원등이용,86,1,2,2,150000,1,46.0
309,"원예(화분,화단가꾸기등)",70,1,4,5,100000,1,9.0
310,TV시청(IPTV포함),39,1,5,4,300000,2,25.0
311,"스포츠경기간접관람-TV,DMB를통한관람(축구,야구,농구,배구등)",29,1,2,7,150000,2,29.0
312,영화관람,71,1,3,3,300000,3,9.0
313,"모바일컨텐츠,동영상,VOD시청",41,1,4,7,100000,1,28.0
314,게임(온라인/모바일/콘솔게임등),68,1,2,1,300000,1,32.0
315,TV시청(IPTV포함),53,1,2,3,500000,3,36.0
316,TV시청(IPTV포함),39,2,4,5,350000,2,25.0
317,TV시청(IPTV포함),74,1,4,5,200000,1,21.0
318,"모바일컨텐츠,동영상,VOD시청",31,1,5,4,150000,1,30.0
319,인터넷검색/1인미디어제작/SNS,86,1,3,7,300000,1,55.0
320,"모바일컨텐츠,동영상,VOD시청",77,1,2,2,150000,3,35.0
321,음악감상,39,1,4,4,300000,1,25.0
322,종교활동,81,1,5,4,300000,5,17.0
323,쇼핑/외식,43,2,2,7,350000,3,30.0
324,잡담/통화하기/문자보내기(모바일메신저메시지사용포함),84,2,3,7,250000,1,21.0
