,가장 많이 참여한 여가활동 (1순위),가장 만족스런 여가활동 (1순위),응답자 성별,연령,가구 소득,여가활동을 위한 월 평균 지출액,가장 많이 참여한 1순위 여가활동 동반자1,일주일 여가시간
5360,게임(온라인/모바일/콘솔게임등),24,1,3,4,30000,1,18.0
5361,"모바일컨텐츠,동영상,VOD시청",75,1,3,5,500000,1,35.0
5362,박물관관람,20,1,3,2,100000,3,36.0
5363,잡담/통화하기/문자보내기(모바일메신저메시지사용포함),63,1,4,7,250000,1,11.5
5364,"농구,배구,야구,축구,족구",20,1,4,4,150000,3,18.0
5365,"농구,배구,야구,축구,족구",20,1,3,3,50000,5,18.0
5366,TV시청(IPTV포함),74,2,5,6,100000,1,28.0
5367,TV시청(IPTV포함),75,1,4,5,100000,2,25.0
5368,TV시청(IPTV포함),75,2,6,3,100000,2,55.0
5369,TV시청(IPTV포함),53,2,1,3,100000,1,30.0
5370,게임(온라인/모바일/콘솔게임등),59,2,1,4,20000,1,28.0
5371,TV시청(IPTV포함),42,2,5,3,100000,2,7.0
5372,"모바일컨텐츠,동영상,VOD시청",75,2,1,3,50000,1,41.0
5373,등산,70,2,5,5,50000,2,9.0
5374,산책및걷기,71,2,5,7,0,1,9.0
5375,TV시청(IPTV포함),7,2,5,4,50000,2,16.0
5376,TV시청(IPTV포함),7,1,5,3,100000,2,16.0
5377,TV시청(IPTV포함),81,2,7,2,40000,1,36.0
5378,TV시청(IPTV포함),75,2,4,5,150000,2,45.0
5379,잡담/통화하기/문자보내기(모바일메신저메시지사용포함),84,2,3,4,100000,3,16.0
5380,인터넷검색/1인미디어제작/SNS,58,1,2,4,50000,1,36.0
5381,"모바일컨텐츠,동영상,VOD시청",41,2,2,7,15000,1,45.0
5382,TV시청(IPTV포함),39,1,4,6,10000,2,25.0
5383,TV시청(IPTV포함),74,1,3,4,10000,2,21.0
5384,"모바일컨텐츠,동영상,VOD시청",42,2,4,5,30000,1,56.0
5385,박물관관람,41,2,4,5,100000,2,23.0
5386,산책및걷기,50,2,5,2,50000,1,18.0
5387,TV시청(IPTV포함),63,2,4,5,30000,2,11.0
5388,TV시청(IPTV포함),65,2,3,5,70000,2,35.0
5389,"모바일컨텐츠,동영상,VOD시청",73,2,4,4,100000,1,18.0
5390,등산,55,2,5,6,100000,5,49.0
5391,TV시청(IPTV포함),38,2,4,5,300000,2,28.0
5392,TV시청(IPTV포함),7,2,5,7,150000,1,21.0
5393,영화관람,7,2,4,4,50000,2,21.0
5394,반려동물돌보기,52,2,2,3,50000,1,30.0
5395,독서(웹소설포함),72,2,3,6,100000,1,46.0
5396,산책및걷기,71,2,4,5,100000,3,29.0
5397,TV시청(IPTV포함),55,1,5,6,100000,2,32.0
5398,"모바일컨텐츠,동영상,VOD시청",55,2,3,3,100000,2,18.0
5399,TV시청(IPTV포함),59,1,4,2,100000,1,56.0
5400,TV시청(IPTV포함),74,1,4,1,200000,1,56.0
5401,"모바일컨텐츠,동영상,VOD시청",29,1,2,6,300000,1,20.0
5402,육상/조깅/속보,32,1,6,5,500000,1,22.0
5403,"모바일컨텐츠,동영상,VOD시청",55,1,5,7,200000,1,22.0
5404,TV시청(IPTV포함),56,1,5,2,200000,2,40.0
5405,수집활동(스크랩포함),49,1,2,7,300000,1,26.0
5406,잡담/통화하기/문자보내기(모바일메신저메시지사용포함),63,2,1,7,120000,1,21.0
5407,홈페이지/블로그관리,57,2,2,7,200000,1,14.0
5408,낮잠,32,2,4,5,50000,1,18.0
5409,산책및걷기,48,2,5,7,100000,2,33.0
5410,"모바일컨텐츠,동영상,VOD시청",59,2,1,6,100000,1,30.0
5411,"스포츠경기직접관람-경기장방문관람(축구,야구,농구,배구등)",16,1,2,4,100000,2,25.0
5412,"모바일컨텐츠,동영상,VOD시청",7,2,2,5,180000,1,18.0
5413,영화관람,85,2,3,3,300000,1,23.0
5414,TV시청(IPTV포함),8,1,4,7,500000,2,50.0
5415,국내캠핑,41,1,4,3,300000,2,25.0
5416,라디오/팟캐스트청취,63,1,6,3,30000,1,42.0
5417,음악감상,72,2,3,6,300000,1,32.0
5418,TV시청(IPTV포함),77,1,6,3,200000,2,65.0
5419,영화관람,7,2,4,7,50000,2,21.0
5420,TV시청(IPTV포함),24,1,3,6,100000,2,36.0
5421,게임(온라인/모바일/콘솔게임등),2,1,1,7,100000,1,31.0
5422,인터넷검색/1인미디어제작/SNS,71,2,3,4,200000,1,45.0
5423,신문/잡지보기,65,1,6,2,300000,1,56.0
5424,TV시청(IPTV포함),84,2,7,1,10000,1,63.0
5425,인터넷검색/1인미디어제작/SNS,39,1,4,5,70000,1,35.0
5426,TV시청(IPTV포함),23,1,4,4,50000,2,36.0
5427,신문/잡지보기,50,2,4,4,200000,1,46.0
5428,게임(온라인/모바일/콘솔게임등),75,1,4,3,300000,1,32.0
5429,게임(온라인/모바일/콘솔게임등),12,2,1,5,200000,1,14.0
5430,게임(온라인/모바일/콘솔게임등),29,1,2,6,300000,1,50.0
5431,TV시청(IPTV포함),86,2,2,4,400000,1,49.0
5432,"모바일컨텐츠,동영상,VOD시청",5,1,3,6,100000,1,21.0
5433,"모바일컨텐츠,동영상,VOD시청",71,2,4,7,200000,1,41.0
5434,TV시청(IPTV포함),46,2,4,7,250000,2,46.0
5435,TV시청(IPTV포함),58,2,3,5,250000,2,60.0
5436,인터넷검색/1인미디어제작/SNS,86,1,2,6,400000,1,36.0
5437,TV시청(IPTV포함),40,1,5,6,150000,1,40.0
5438,인터넷검색/1인미디어제작/SNS,86,2,1,6,100000,1,60.0
5439,TV시청(IPTV포함),41,1,4,3,400000,2,39.0
5440,독서(웹소설포함),41,2,4,5,100000,1,56.0
5441,게임(온라인/모바일/콘솔게임등),86,2,1,6,120000,1,26.0
5442,인터넷검색/1인미디어제작/SNS,75,1,2,7,50000,1,40.0
5443,영화관람,25,2,3,5,100000,2,25.0
5444,산책및걷기,71,1,3,5,100000,1,11.0
5445,"겜블(경마,경륜,카지노,카드놀이,고스톱,마작등)/복권구입",67,1,4,7,150000,1,25.0
5446,수영,73,2,4,7,30000,1,31.0
5447,영화관람,7,2,4,3,30000,3,11.0
5448,영화관람,7,2,4,5,200000,2,25.0
5449,골프,24,1,4,7,500000,3,15.0
5450,"배드민턴/줄넘기/맨손,스트레칭체조/훌라후프",55,1,4,7,300000,2,40.0
5451,인터넷검색/1인미디어제작/SNS,39,2,4,6,300000,1,18.0
5452,"모바일컨텐츠,동영상,VOD시청",59,1,1,4,20000,1,32.0
5453,인터넷검색/1인미디어제작/SNS,39,2,4,7,150000,1,18.0
5454,인터넷검색/1인미디어제작/SNS,29,2,3,5,100000,1,16.0
5455,"모바일컨텐츠,동영상,VOD시청",41,2,3,6,400000,1,11.0
5456,독서(웹소설포함),80,2,4,7,300000,1,55.0
5457,TV시청(IPTV포함),16,1,4,4,70000,2,20.0
5458,TV시청(IPTV포함),81,2,4,7,150000,2,21.0
5459,"모바일컨텐츠,동영상,VOD시청",75,1,2,7,100000,1,35.0
5460,게임(온라인/모바일/콘솔게임등),2,1,3,5,20000,1,18.0
5461,"모바일컨텐츠,동영상,VOD시청",29,1,2,3,250000,1,36.0
5462,독서(웹소설포함),42,1,1,7,25000,1,16.0
5463,게임(온라인/모바일/콘솔게임등),22,1,1,7,300000,1,23.0
5464,국내캠핑,41,1,4,4,200000,2,24.5
5465,TV시청(IPTV포함),41,2,3,4,100000,2,38.0
5466,인터넷검색/1인미디어제작/SNS,52,2,3,3,50000,1,20.0
5467,TV시청(IPTV포함),5,2,4,5,200000,2,14.0
5468,라디오/팟캐스트청취,5,2,4,4,200000,1,9.0
5469,게임(온라인/모바일/콘솔게임등),75,1,1,3,30000,1,23.0
5470,영화관람,7,2,4,7,200000,2,18.0
5471,TV시청(IPTV포함),74,2,4,6,20000,1,37.0
5472,인터넷검색/1인미디어제작/SNS,20,1,3,5,300000,1,32.0
5473,헬스(보디빌딩)/에어로빅,29,2,2,3,150000,1,45.0
5474,산책및걷기,74,2,3,4,300000,2,64.0
5475,인터넷검색/1인미디어제작/SNS,69,2,2,7,200000,1,45.0
5476,"모바일컨텐츠,동영상,VOD시청",75,2,2,5,20000,1,14.0
5477,인터넷검색/1인미디어제작/SNS,46,2,2,7,150000,1,32.0
5478,인터넷검색/1인미디어제작/SNS,63,2,2,7,250000,2,41.0
5479,독서(웹소설포함),40,1,5,7,400000,1,28.0
5480,인터넷검색/1인미디어제작/SNS,39,1,4,7,400000,1,27.0
5481,수영,25,2,6,7,200000,1,26.0
5482,헬스(보디빌딩)/에어로빅,24,2,4,7,500000,1,35.0
5483,TV시청(IPTV포함),42,1,3,7,400000,1,39.0
5484,"모바일컨텐츠,동영상,VOD시청",86,2,1,6,50000,1,36.0
5485,"스포츠경기간접관람-TV,DMB를통한관람(축구,야구,농구,배구등)",17,1,2,7,100000,1,9.0
5486,TV시청(IPTV포함),74,1,4,7,200000,2,23.0
5487,"원예(화분,화단가꾸기등)",70,1,6,4,1000000,2,35.0
5488,TV시청(IPTV포함),11,2,4,4,100000,2,30.0
5489,요가/필라테스/태보,30,2,7,1,30000,3,16.0
5490,헬스(보디빌딩)/에어로빅,29,1,6,4,150000,3,18.0
5491,요가/필라테스/태보,30,2,7,1,20000,3,9.0
5492,온천/해수욕,44,1,7,2,30000,2,16.0
5493,TV시청(IPTV포함),81,2,5,6,150000,2,31.0
5494,당구/포켓볼,22,1,7,4,100000,3,25.0
5495,사회봉사활동,87,2,6,4,100000,5,23.0
5496,TV시청(IPTV포함),86,2,5,2,150000,1,26.0
5497,자동차드라이브,7,1,3,7,100000,3,25.0
5498,TV시청(IPTV포함),47,1,5,3,150000,1,40.0
5499,골프,24,1,7,1,200000,3,21.0
5500,산책및걷기,71,2,4,5,60000,2,23.0
5501,요가/필라테스/태보,30,2,6,7,120000,5,25.0
5502,수영,48,2,3,5,30000,3,23.0
5503,"모바일컨텐츠,동영상,VOD시청",55,1,6,3,150000,1,42.0
5504,"모바일컨텐츠,동영상,VOD시청",41,1,3,4,300000,1,18.0
5505,잡담/통화하기/문자보내기(모바일메신저메시지사용포함),4,1,5,4,300000,5,22.0
5506,"격투스포츠(태권도,유도,합기도,검도,권투등)",33,1,7,3,100000,1,45.0
5507,TV시청(IPTV포함),30,2,7,1,30000,1,42.0
5508,산책및걷기,74,1,6,2,50000,2,26.0
5509,테마파크가기/놀이공원/동물원/식물원가기,59,1,2,7,300000,3,21.0
5510,TV시청(IPTV포함),63,1,5,2,60000,2,23.0
5511,요가/필라테스/태보,30,2,7,2,50000,1,30.0
5512,국내캠핑,41,1,5,7,250000,2,25.0
5513,"생활공예(십자수,비즈공예)",52,2,5,4,300000,3,45.0
5514,음악감상,54,2,4,5,100000,1,20.0
5515,낮잠,71,1,5,4,300000,1,21.0
5516,"전통예술배우기(사물놀이,줄타기등)",30,2,5,7,70000,4,18.0
5517,"모바일컨텐츠,동영상,VOD시청",86,2,2,6,500000,1,41.0
5518,"배드민턴/줄넘기/맨손,스트레칭체조/훌라후프",31,1,3,7,200000,1,11.0
5519,TV시청(IPTV포함),63,2,3,5,40000,2,35.0
5520,인터넷검색/1인미디어제작/SNS,7,2,2,7,0,2,9.0
5521,음주,86,1,7,2,200000,3,28.0
5522,게임(온라인/모바일/콘솔게임등),59,2,2,6,100000,1,16.0
5523,TV시청(IPTV포함),72,2,5,5,50000,2,35.0
5524,"농구,배구,야구,축구,족구",20,1,2,5,80000,3,28.0
5525,인터넷검색/1인미디어제작/SNS,31,1,4,4,200000,1,13.5
5526,TV시청(IPTV포함),67,2,4,4,200000,1,18.0
5527,"모바일컨텐츠,동영상,VOD시청",3,1,3,3,50000,1,22.0
5528,TV시청(IPTV포함),86,2,1,3,20000,2,28.0
5529,TV시청(IPTV포함),43,2,3,6,200000,2,24.0
5530,게임(온라인/모바일/콘솔게임등),30,2,2,4,100000,1,13.0
5531,인터넷검색/1인미디어제작/SNS,81,2,2,7,250000,1,32.0
5532,TV시청(IPTV포함),46,1,4,4,300000,2,15.0
5533,자동차드라이브,48,1,6,4,200000,2,35.0
5534,박물관관람,2,2,7,2,20000,2,11.0
5535,TV시청(IPTV포함),39,1,3,6,1000000,2,21.0
5536,영화관람,26,1,3,7,700000,1,55.0
5537,게임(온라인/모바일/콘솔게임등),23,1,1,5,30000,1,22.0
5538,"볼링,탁구",23,1,6,5,400000,3,35.0
5539,TV시청(IPTV포함),25,1,5,6,200000,2,26.0
5540,산책및걷기,71,1,6,2,150000,1,56.0
5541,잡담/통화하기/문자보내기(모바일메신저메시지사용포함),88,2,7,7,200000,6,56.0
5542,낚시,56,2,4,5,1500000,2,41.0
5543,등산,55,1,4,4,150000,2,27.0
5544,낚시,56,1,4,4,400000,2,20.0
5545,친구만남/이성교제/미팅/소개팅,41,1,2,7,400000,3,40.0
5546,TV시청(IPTV포함),74,2,2,5,300000,1,30.0
5547,산책및걷기,41,2,3,7,400000,2,14.0
5548,음악감상,56,1,3,7,400000,1,30.0
5549,"모바일컨텐츠,동영상,VOD시청",41,1,3,4,200000,1,17.0
5550,TV시청(IPTV포함),2,2,4,7,100000,1,23.0
5551,TV시청(IPTV포함),39,1,5,7,200000,1,31.0
5552,TV시청(IPTV포함),64,1,4,6,200000,2,30.0
5553,산책및걷기,39,1,4,5,300000,2,42.0
5554,"테니스,스쿼시",21,1,5,7,200000,5,21.0
5555,TV시청(IPTV포함),85,2,5,6,100000,1,20.0
5556,박물관관람,81,2,6,3,30000,2,19.0
5557,요가/필라테스/태보,30,2,4,7,100000,1,50.0
5558,음악감상,1,2,3,7,400000,1,25.0
5559,게임(온라인/모바일/콘솔게임등),68,1,3,4,100000,1,13.0
5560,"원예(화분,화단가꾸기등)",70,1,5,5,100000,1,9.0
5561,"테니스,스쿼시",21,1,5,5,100000,3,9.0
5562,수영,25,1,6,5,250000,1,40.0
5563,TV시청(IPTV포함),39,1,6,5,100000,1,56.0
5564,TV시청(IPTV포함),20,1,4,7,400000,1,18.0
5565,"배드민턴/줄넘기/맨손,스트레칭체조/훌라후프",31,2,5,7,200000,1,14.0
5566,종교활동,81,1,3,5,200000,1,14.0
5567,게임(온라인/모바일/콘솔게임등),29,2,2,1,100000,1,45.0
5568,만화보기(웹툰포함),42,2,3,2,400000,1,19.0
5569,"전시회관람(미술,사진,건축,디자인등)",1,2,2,4,150000,2,31.0
5570,등산,55,2,3,6,300000,1,20.0
5571,음주,24,1,5,7,600000,2,36.0
5572,종교활동,81,2,7,2,50000,2,7.0
5573,게임(온라인/모바일/콘솔게임등),59,2,3,4,150000,1,16.0
5574,악기연주/노래교실,12,2,2,7,500000,1,39.0
5575,친구만남/이성교제/미팅/소개팅,86,1,4,4,600000,3,42.0
5576,"스포츠경기간접관람-TV,DMB를통한관람(축구,야구,농구,배구등)",35,1,4,7,300000,1,11.0
5577,TV시청(IPTV포함),11,2,4,5,200000,2,29.0
5578,"미술활동(그림,서예,조각,디자인,도예,만화등)",11,2,5,6,50000,1,23.0
5579,요가/필라테스/태보,86,2,7,3,100000,1,21.0
5580,"모바일컨텐츠,동영상,VOD시청",1,2,1,5,200000,1,46.0
5581,"모바일컨텐츠,동영상,VOD시청",11,2,2,3,100000,1,28.0
5582,TV시청(IPTV포함),63,1,6,7,500000,1,25.0
5583,산책및걷기,29,2,1,5,70000,1,9.0
5584,게임(온라인/모바일/콘솔게임등),63,2,1,6,150000,3,35.0
5585,반려동물돌보기,52,2,5,3,80000,1,26.0
5586,헬스(보디빌딩)/에어로빅,29,1,5,7,1500000,1,45.0
5587,등산,71,2,5,7,100000,2,35.0
5588,"춤/무용(발레,한국무용,현대무용,방송댄스,스트릿댄스,비보잉등)",71,2,3,7,30000,6,7.0
5589,사회봉사활동,55,1,6,4,200000,5,25.0
5590,독서(웹소설포함),11,1,6,1,100000,1,42.0
5591,인터넷검색/1인미디어제작/SNS,11,1,2,7,30000,1,44.0
5592,신문/잡지보기,78,1,7,1,50000,1,70.0
5593,TV시청(IPTV포함),35,1,4,4,100000,2,27.0
5594,산책및걷기,74,1,4,3,100000,2,26.0
5595,"모바일컨텐츠,동영상,VOD시청",42,1,6,6,500000,1,26.0
5596,수집활동(스크랩포함),49,1,5,6,300000,1,21.0
5597,TV시청(IPTV포함),1,1,3,4,300000,2,54.0
5598,"모바일컨텐츠,동영상,VOD시청",64,1,4,6,200000,1,20.5
5599,TV시청(IPTV포함),74,2,7,1,100000,1,56.0
5600,"전시회관람(미술,사진,건축,디자인등)",17,1,5,5,100000,3,36.0
5601,TV시청(IPTV포함),56,1,5,4,400000,1,65.0
5602,TV시청(IPTV포함),74,1,3,5,20000,1,20.0
5603,"전시회관람(미술,사진,건축,디자인등)",86,1,7,3,150000,2,56.0
5604,"문화유적방문(고궁,절,유적지등)",38,1,6,4,200000,2,27.0
5605,"전시회관람(미술,사진,건축,디자인등)",64,1,6,1,50000,3,37.0
5606,"스포츠경기간접관람-TV,DMB를통한관람(축구,야구,농구,배구등)",17,2,3,4,100000,1,112.0
5607,"스포츠경기직접관람-경기장방문관람(축구,야구,농구,배구등)",85,1,6,2,60000,1,18.0
5608,TV시청(IPTV포함),30,1,6,1,20000,1,41.0
5609,독서(웹소설포함),65,2,3,4,50000,1,21.0
5610,헬스(보디빌딩)/에어로빅,29,2,6,3,100000,1,17.0
5611,음악감상,77,2,3,6,150000,1,31.0
5612,"스노보드,스키등",27,1,3,5,500000,1,21.0
5613,수영,25,2,6,2,150000,1,54.0
5614,쇼핑/외식,63,1,4,4,100000,1,39.0
5615,골프,24,2,6,3,200000,2,21.0
5616,TV시청(IPTV포함),74,2,5,4,500000,1,34.0
5617,산책및걷기,29,1,2,5,500000,1,31.0
5618,"원예(화분,화단가꾸기등)",70,1,6,2,200000,1,34.0
5619,헬스(보디빌딩)/에어로빅,29,1,2,7,300000,5,45.0
5620,TV시청(IPTV포함),74,2,3,5,300000,2,21.0
5621,산책및걷기,71,1,5,2,100000,3,29.0
5622,TV시청(IPTV포함),70,2,6,3,50000,2,14.0
5623,"모바일컨텐츠,동영상,VOD시청",39,2,2,7,15000,2,32.0
5624,"전시회관람(미술,사진,건축,디자인등)",1,1,2,6,50000,3,23.0
5625,"전시회관람(미술,사진,건축,디자인등)",81,2,4,5,100000,2,14.0
5626,인터넷검색/1인미디어제작/SNS,41,2,3,7,1000000,1,25.0
5627,TV시청(IPTV포함),42,2,5,5,350000,1,25.0
5628,"전시회관람(미술,사진,건축,디자인등)",81,1,5,1,400000,2,70.0
5629,잡담/통화하기/문자보내기(모바일메신저메시지사용포함),72,2,5,5,100000,3,14.0
5630,낮잠,74,2,5,5,100000,4,7.0
5631,"전시회관람(미술,사진,건축,디자인등)",58,2,1,2,30000,1,45.0
5632,TV시청(IPTV포함),81,2,7,6,30000,1,49.0
5633,"모바일컨텐츠,동영상,VOD시청",38,2,2,2,150000,1,36.0
5634,산책및걷기,71,2,5,3,50000,1,55.0
5635,"전시회관람(미술,사진,건축,디자인등)",8,2,1,5,10000,3,21.0
5636,TV시청(IPTV포함),55,1,6,3,200000,1,80.0
5637,게임(온라인/모바일/콘솔게임등),59,1,1,5,30000,3,35.0
5638,요가/필라테스/태보,30,2,2,1,120000,3,18.0
5639,TV시청(IPTV포함),59,2,2,4,100000,1,35.0
5640,TV시청(IPTV포함),71,1,3,3,150000,1,28.0
5641,TV시청(IPTV포함),39,2,5,3,100000,2,35.0
5642,음주,24,1,3,4,200000,3,4.5
5643,TV시청(IPTV포함),74,2,5,5,300000,1,35.0
5644,TV시청(IPTV포함),74,2,5,6,400000,1,56.0
5645,인터넷검색/1인미디어제작/SNS,88,1,1,4,10000,1,30.0
5646,TV시청(IPTV포함),63,2,4,5,50000,1,25.0
5647,"모바일컨텐츠,동영상,VOD시청",67,2,2,6,100000,1,23.0
5648,인터넷검색/1인미디어제작/SNS,68,2,2,2,1000000,1,41.0
5649,"모바일컨텐츠,동영상,VOD시청",25,1,4,4,400000,1,20.0
5650,"모바일컨텐츠,동영상,VOD시청",55,1,4,7,100000,1,26.0
5651,"미용(피부관리,헤어관리,네일아트,마사지,성형등)",67,2,2,5,800000,1,50.0
5652,"스포츠경기간접관람-TV,DMB를통한관람(축구,야구,농구,배구등)",17,1,4,4,100000,1,18.0
5653,"모바일컨텐츠,동영상,VOD시청",75,1,5,3,100000,1,32.5
5654,인터넷검색/1인미디어제작/SNS,7,1,3,5,50000,1,23.0
5655,"원예(화분,화단가꾸기등)",1,1,5,5,100000,1,9.0
5656,"모바일컨텐츠,동영상,VOD시청",75,1,2,7,70000,1,9.0
5657,"스포츠경기간접관람-TV,DMB를통한관람(축구,야구,농구,배구등)",17,1,4,5,150000,1,9.0
5658,"모바일컨텐츠,동영상,VOD시청",75,1,2,2,150000,1,38.5
5659,쇼핑/외식,20,1,3,7,1000000,1,19.0
5660,인터넷검색/1인미디어제작/SNS,58,2,2,7,150000,1,23.0
5661,TV시청(IPTV포함),77,2,3,5,200000,2,34.0
5662,TV시청(IPTV포함),56,1,4,7,200000,1,45.0
5663,TV시청(IPTV포함),14,1,5,7,200000,2,28.0
5664,"모바일컨텐츠,동영상,VOD시청",75,2,2,4,250000,1,54.0
5665,TV시청(IPTV포함),14,1,3,6,300000,1,54.0
5666,헬스(보디빌딩)/에어로빅,41,1,3,5,600000,1,18.0
5667,인터넷검색/1인미디어제작/SNS,48,2,2,7,250000,1,20.0
5668,골프,24,1,2,3,100000,1,35.0
5669,"모바일컨텐츠,동영상,VOD시청",75,2,1,4,200000,1,28.0
5670,TV시청(IPTV포함),74,2,5,2,70000,1,18.0
5671,산책및걷기,71,1,3,4,200000,1,9.0
5672,요리하기/다도,51,2,2,6,100000,2,14.0
5673,영화관람,42,1,3,6,100000,2,6.0
5674,산책및걷기,35,2,3,7,100000,1,16.0
5675,인터넷검색/1인미디어제작/SNS,73,2,1,3,50000,1,44.0
5676,음악감상,77,2,4,7,150000,1,18.0
5677,"모바일컨텐츠,동영상,VOD시청",56,1,5,7,350000,1,21.0
5678,"스포츠경기간접관람-TV,DMB를통한관람(축구,야구,농구,배구등)",54,1,4,5,100000,1,16.0
5679,게임(온라인/모바일/콘솔게임등),59,1,2,6,50000,1,9.0
5680,TV시청(IPTV포함),56,1,3,5,500000,1,28.0
5681,헬스(보디빌딩)/에어로빅,48,1,2,5,150000,1,35.0
5682,반려동물돌보기,52,2,5,7,500000,2,20.0
5683,"전시회관람(미술,사진,건축,디자인등)",1,1,4,3,300000,3,18.0
5684,인터넷검색/1인미디어제작/SNS,86,2,1,5,100000,1,27.0
5685,"배드민턴/줄넘기/맨손,스트레칭체조/훌라후프",7,2,4,4,0,1,7.0
5686,어학/기술/자격증취득공부/학원등이용,68,2,3,4,100000,1,54.0
5687,헬스(보디빌딩)/에어로빅,29,2,4,4,300000,1,16.0
5688,"배드민턴/줄넘기/맨손,스트레칭체조/훌라후프",31,2,2,2,100000,1,9.0
5689,수영,25,2,4,7,100000,1,14.0
5690,TV시청(IPTV포함),41,2,4,6,200000,1,18.0
5691,독서(웹소설포함),65,2,5,5,200000,1,33.0
5692,인터넷검색/1인미디어제작/SNS,84,2,1,5,10000,1,22.0
5693,국내캠핑,41,2,2,7,500000,3,50.0
5694,TV시청(IPTV포함),22,1,3,4,500000,2,31.0
5695,TV시청(IPTV포함),83,2,3,2,200000,1,32.0
5696,인터넷검색/1인미디어제작/SNS,7,1,2,3,100000,1,14.0
5697,인터넷검색/1인미디어제작/SNS,7,2,3,7,200000,1,25.0
5698,인터넷검색/1인미디어제작/SNS,81,2,3,4,100000,1,19.0
5699,인터넷검색/1인미디어제작/SNS,77,2,4,5,300000,1,25.0
5700,인터넷검색/1인미디어제작/SNS,58,2,2,7,500000,1,56.0
5701,TV시청(IPTV포함),34,2,6,1,200000,1,42.0
5702,반려동물돌보기,42,2,5,5,50000,2,13.0
5703,게임(온라인/모바일/콘솔게임등),14,1,2,6,100000,1,54.0
5704,"스포츠경기간접관람-TV,DMB를통한관람(축구,야구,농구,배구등)",24,1,4,5,300000,1,44.0
5705,악기연주/노래교실,12,1,4,6,70000,1,19.0
5706,음주,71,1,6,4,100000,1,16.0
5707,인터넷검색/1인미디어제작/SNS,58,1,2,4,30000,1,21.0
5708,헬스(보디빌딩)/에어로빅,29,2,4,7,100000,1,23.0
5709,TV시청(IPTV포함),65,2,3,6,50000,2,9.0
5710,"미술활동(그림,서예,조각,디자인,도예,만화등)",11,1,6,6,250000,5,23.0
5711,"전시회관람(미술,사진,건축,디자인등)",1,2,3,7,50000,1,25.0
5712,테마파크가기/놀이공원/동물원/식물원가기,46,2,2,7,300000,3,80.0
5713,"겜블(경마,경륜,카지노,카드놀이,고스톱,마작등)/복권구입",23,1,4,7,300000,1,18.0
5714,"생활공예(십자수,비즈공예)",50,2,4,5,100000,1,21.0
5715,"생활공예(십자수,비즈공예)",11,2,5,5,300000,1,40.0
5716,게임(온라인/모바일/콘솔게임등),46,2,1,4,100000,1,21.0
5717,음악감상,11,2,3,5,50000,1,7.0
5718,"모바일컨텐츠,동영상,VOD시청",52,2,2,4,150000,1,45.0
5719,친구만남/이성교제/미팅/소개팅,86,2,1,7,200000,3,20.0
5720,친구만남/이성교제/미팅/소개팅,86,2,2,6,200000,3,20.0
5721,"미술활동(그림,서예,조각,디자인,도예,만화등)",70,2,2,7,30000,1,16.0
5722,TV시청(IPTV포함),1,2,2,7,50000,1,21.0
5723,산책및걷기,83,2,2,7,150000,1,17.0
5724,헬스(보디빌딩)/에어로빅,23,2,3,6,100000,1,7.0
5725,인터넷검색/1인미디어제작/SNS,67,2,2,7,300000,1,31.0
5726,"원예(화분,화단가꾸기등)",11,2,5,5,50000,1,18.0
5727,"춤/무용(발레,한국무용,현대무용,방송댄스,스트릿댄스,비보잉등)",15,2,1,5,100000,1,35.0
5728,요가/필라테스/태보,30,2,3,4,100000,1,16.0
5729,"원예(화분,화단가꾸기등)",70,2,5,6,100000,1,9.0
5730,TV시청(IPTV포함),84,2,2,7,100000,2,30.0
5731,인터넷검색/1인미디어제작/SNS,29,2,1,3,100000,1,36.0
5732,"모바일컨텐츠,동영상,VOD시청",75,2,1,6,150000,1,27.0
5733,글짓기/독서토론,42,1,2,6,300000,1,12.0
5734,"볼링,탁구",71,1,5,7,55000,5,11.0
5735,"생활공예(십자수,비즈공예)",52,2,6,5,100000,1,21.0
5736,잡담/통화하기/문자보내기(모바일메신저메시지사용포함),68,1,2,1,200000,3,50.0
5737,만화보기(웹툰포함),12,2,1,3,10000,1,27.0
5738,친구만남/이성교제/미팅/소개팅,65,2,2,7,100000,3,20.0
5739,"배드민턴/줄넘기/맨손,스트레칭체조/훌라후프",31,2,1,7,200000,2,25.0
5740,TV시청(IPTV포함),65,2,2,2,50000,1,42.0
5741,"모바일컨텐츠,동영상,VOD시청",12,2,1,5,200000,1,25.0
5742,만화보기(웹툰포함),60,2,2,7,100000,1,20.0
5743,어학/기술/자격증취득공부/학원등이용,68,2,4,5,100000,1,9.0
5744,어학/기술/자격증취득공부/학원등이용,53,1,1,6,20000,1,20.0
5745,"모바일컨텐츠,동영상,VOD시청",29,1,2,5,500000,1,50.0
5746,인터넷검색/1인미디어제작/SNS,58,1,2,7,300000,1,35.0
5747,헬스(보디빌딩)/에어로빅,29,2,2,7,200000,1,45.0
5748,헬스(보디빌딩)/에어로빅,29,1,5,7,70000,1,14.0
5749,TV시청(IPTV포함),29,2,4,6,300000,2,16.0
5750,어학/기술/자격증취득공부/학원등이용,71,1,3,7,300000,1,20.0
5751,인터넷검색/1인미디어제작/SNS,33,2,4,3,200000,1,17.0
5752,TV시청(IPTV포함),33,2,2,3,50000,1,9.0
5753,요리하기/다도,51,2,6,4,100000,1,35.0
5754,인터넷검색/1인미디어제작/SNS,86,1,2,1,200000,1,62.0
